raceId,driverId,driverFullName,stop,lap,time,duration,milliseconds
1,32,Max Verstappen,1,16,14:40:29,28.388,28388
1,32,Max Verstappen,2,49,15:29:50,29.297,29297
1,22,Sergio Perez,1,11,16:43:20,29.756,29756
1,22,Sergio Perez,2,27,16:01:13,29.596,29596
1,22,Sergio Perez,3,41,16:21:51,29.960,29960
1,13,Lewis Hamilton,1,12,14:21:24,25.095,25095
1,13,Lewis Hamilton,2,17,16:53:10,30.764,30764
1,13,Lewis Hamilton,3,30,16:24:11,29.854,29854
1,6,Valtteri Bottas,1,27,16:02:17,25.652,25652
1,6,Valtteri Bottas,2,53,14:31:56,27.280,27280
1,17,Charles Leclerc,1,36,14:33:19,25.458,25458
1,27,Carlos Sainz,1,31,14:58:05,21.112,21112
1,20,Lando Norris,1,9,14:12:21,28.692,28692
1,20,Lando Norris,2,38,16:55:33,28.421,28421
1,25,Daniel Ricciardo,1,17,16:43:08,22.109,22109
1,25,Daniel Ricciardo,2,28,16:02:29,23.861,23861
1,2,Fernando Alonso,1,15,15:59:02,20.567,20567
1,2,Fernando Alonso,2,41,16:55:05,31.756,31756
1,21,Esteban Ocon,1,10,16:47:19,29.029,29029
1,21,Esteban Ocon,2,14,16:48:19,20.868,20868
1,33,Sebastian Vettel,1,21,14:18:17,23.785,23785
1,33,Sebastian Vettel,2,28,15:49:28,29.220,29220
1,30,Lance Stroll,1,17,15:07:00,23.080,23080
1,30,Lance Stroll,2,25,16:32:06,30.706,30706
1,10,Pierre Gasly,1,30,15:17:09,29.500,29500
1,31,Yuki Tsunoda,1,23,14:19:39,23.306,23306
1,31,Yuki Tsunoda,2,26,16:28:03,26.049,26049
1,31,Yuki Tsunoda,3,44,14:30:57,22.631,22631
1,24,Kimi Raikkonen,1,14,14:27:25,21.381,21381
1,24,Kimi Raikkonen,2,32,16:38:57,23.432,23432
1,11,Antonio Giovinazzi,1,36,15:19:21,30.597,30597
1,11,Antonio Giovinazzi,2,52,16:48:42,23.746,23746
1,26,George Russell,1,13,14:52:51,22.659,22659
1,26,George Russell,2,37,15:06:29,31.945,31945
1,26,George Russell,3,44,16:41:45,25.585,25585
1,15,Nicholas Latifi,1,22,14:55:57,24.166,24166
1,15,Nicholas Latifi,2,38,15:58:23,30.607,30607
1,29,Mick Schumacher,1,50,15:29:31,25.912,25912
1,29,Mick Schumacher,2,52,14:30:07,20.995,20995
1,19,Nikita Mazepin,1,18,15:38:36,25.124,25124
1,19,Nikita Mazepin,2,37,16:06:25,22.587,22587
2,32,Max Verstappen,1,14,14:50:19,31.140,31140
2,32,Max Verstappen,2,28,15:25:37,29.228,29228
2,32,Max Verstappen,3,43,14:39:15,27.273,27273
2,22,Sergio Perez,1,32,15:13:52,21.582,21582
2,22,Sergio Perez,2,38,16:27:50,31.871,31871
2,13,Lewis Hamilton,1,29,14:11:42,31.872,31872
2,13,Lewis Hamilton,2,42,14:47:59,31.470,31470
2,13,Lewis Hamilton,3,44,15:07:37,29.907,29907
2,6,Valtteri Bottas,1,28,15:11:19,22.099,22099
2,6,Valtteri Bottas,2,43,14:38:06,27.148,27148
2,17,Charles Leclerc,1,32,15:41:42,25.864,25864
2,17,Charles Leclerc,2,46,14:13:52,21.507,21507
2,27,Carlos Sainz,1,45,14:48:09,30.922,30922
2,20,Lando Norris,1,36,15:39:36,25.275,25275
2,20,Lando Norris,2,42,14:13:43,27.826,27826
2,25,Daniel Ricciardo,1,27,15:45:58,25.489,25489
2,25,Daniel Ricciardo,2,44,14:37:00,26.140,26140
2,25,Daniel Ricciardo,3,51,16:25:54,30.518,30518
2,2,Fernando Alonso,1,26,15:57:35,21.522,21522
2,21,Esteban Ocon,1,8,14:55:18,26.385,26385
2,21,Esteban Ocon,2,43,14:27:44,21.010,21010
2,21,Esteban Ocon,3,53,15:40:20,30.169,30169
2,33,Sebastian Vettel,1,32,16:13:42,27.630,27630
2,33,Sebastian Vettel,2,33,15:08:12,23.341,23341
2,30,Lance Stroll,1,31,15:55:42,23.027,23027
2,30,Lance Stroll,2,34,14:00:04,22.556,22556
2,10,Pierre Gasly,1,17,16:27:08,28.474,28474
2,10,Pierre Gasly,2,54,14:41:51,21.887,21887
2,31,Yuki Tsunoda,1,37,15:39:11,30.402,30402
2,31,Yuki Tsunoda,2,52,16:27:35,27.944,27944
2,24,Kimi Raikkonen,1,22,15:38:00,23.544,23544
2,24,Kimi Raikkonen,2,30,15:54:46,29.968,29968
2,24,Kimi Raikkonen,3,32,16:32:17,24.378,24378
2,11,Antonio Giovinazzi,1,42,14:02:36,26.512,26512
2,11,Antonio Giovinazzi,2,44,16:23:07,28.417,28417
2,26,George Russell,1,13,16:46:33,22.827,22827
2,26,George Russell,2,52,15:33:05,25.078,25078
2,15,Nicholas Latifi,1,13,15:40:47,24.517,24517
2,15,Nicholas Latifi,2,47,16:04:43,31.374,31374
2,29,Mick Schumacher,1,27,14:57:21,30.544,30544
2,29,Mick Schumacher,2,45,14:30:29,29.265,29265
2,19,Nikita Mazepin,1,38,15:22:51,25.931,25931
2,19,Nikita Mazepin,2,44,15:10:02,25.327,25327
3,32,Max Verstappen,1,27,15:03:40,29.735,29735
3,32,Max Verstappen,2,46,16:10:36,28.252,28252
3,22,Sergio Perez,1,26,14:18:31,30.728,30728
3,13,Lewis Hamilton,1,40,15:16:08,21.759,21759
