qualifyId,raceId,driverId,driverFullName,constructorId,number,position,q1,q2,q3
1,1,13,Lewis Hamilton,7,44,1,1:18.318,1:18.247,1:18.231
2,1,32,Max Verstappen,9,33,2,1:18.105,1:17.984,1:17.896
3,1,6,Valtteri Bottas,7,77,3,1:18.166,1:18.204,1:18.055
4,1,22,Sergio Perez,9,11,4,1:19.154,1:19.020,1:18.964
5,1,27,Carlos Sainz,3,55,5,1:19.004,1:18.733,1:18.613
6,1,20,Lando Norris,6,4,6,1:19.781,1:19.603,1:19.425
7,1,26,George Russell,10,63,7,1:19.374,1:19.218,1:19.037
8,1,25,Daniel Ricciardo,6,3,8,1:19.927,1:19.753,1:19.658
9,1,21,Esteban Ocon,1,31,9,1:19.884,1:19.907,1:19.912
10,1,30,Lance Stroll,2,18,10,1:20.669,1:20.382,1:20.345
11,1,24,Kimi Raikkonen,5,7,11,1:20.480,1:20.412,
12,1,11,Antonio Giovinazzi,5,99,12,1:20.980,1:20.951,
13,1,29,Mick Schumacher,4,47,13,1:21.593,1:21.428,
14,1,19,Nikita Mazepin,4,9,14,1:21.831,1:21.579,
15,1,31,Yuki Tsunoda,8,22,15,1:22.241,1:21.926,
16,1,15,Nicholas Latifi,10,6,16,1:21.846,,
17,1,17,Charles Leclerc,3,16,17,1:22.757,,
18,1,2,Fernando Alonso,1,14,18,1:22.593,,
19,1,33,Sebastian Vettel,2,5,19,1:23.431,,
20,1,10,Pierre Gasly,8,10,20,1:23.216,,
21,2,32,Max Verstappen,9,33,1,1:18.255,1:18.257,1:18.312
22,2,13,Lewis Hamilton,7,44,2,1:18.104,1:18.104,1:18.040
23,2,6,Valtteri Bottas,7,77,3,1:18.946,1:18.993,1:18.791
24,2,22,Sergio Perez,9,11,4,1:18.674,1:18.340,1:18.271
25,2,17,Charles Leclerc,3,16,5,1:19.130,1:18.917,1:18.720
26,2,27,Carlos Sainz,3,55,6,1:19.216,1:19.156,1:19.087
27,2,25,Daniel Ricciardo,6,3,7,1:19.497,1:19.482,1:19.507
28,2,20,Lando Norris,6,4,8,1:19.965,1:19.944,1:19.948
29,2,10,Pierre Gasly,8,10,9,1:19.986,1:19.771,1:19.612
30,2,21,Esteban Ocon,1,31,10,1:20.372,1:20.403,1:20.460
31,2,24,Kimi Raikkonen,5,7,11,1:20.951,1:20.735,
32,2,30,Lance Stroll,2,18,12,1:21.444,1:21.393,
33,2,11,Antonio Giovinazzi,5,99,13,1:21.398,1:21.346,
34,2,31,Yuki Tsunoda,8,22,14,1:21.648,1:21.483,
35,2,2,Fernando Alonso,1,14,15,1:21.744,1:21.464,
36,2,15,Nicholas Latifi,10,6,16,1:22.321,,
37,2,26,George Russell,10,63,17,1:22.585,,
38,2,33,Sebastian Vettel,2,5,18,1:22.453,,
39,2,29,Mick Schumacher,4,47,19,1:23.413,,
40,2,19,Nikita Mazepin,4,9,20,1:22.968,,
41,3,13,Lewis Hamilton,7,44,1,1:18.339,1:18.357,1:18.261
42,3,32,Max Verstappen,9,33,2,1:18.392,1:18.432,1:18.293
43,3,6,Valtteri Bottas,7,77,3,1:18.679,1:18.383,1:18.305
