resultId,raceId,driverId,driverFullName,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,statusId
1,1,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
2,1,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
3,1,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
4,1,22,Sergio Perez,9,11,4,4,4,12,54,5415000,1
5,1,27,Carlos Sainz,3,55,5,5,5,10,53,5420000,1
6,1,20,Lando Norris,6,4,6,6,6,8,52,5425000,1
7,1,26,George Russell,10,63,7,7,7,6,51,5430000,1
8,1,25,Daniel Ricciardo,6,3,8,8,8,4,50,5435000,1
9,1,21,Esteban Ocon,1,31,9,9,9,2,49,5440000,1
10,1,30,Lance Stroll,2,18,10,10,10,1,48,5445000,1
11,1,24,Kimi Raikkonen,5,7,11,11,11,0,47,5450000,1
12,1,11,Antonio Giovinazzi,5,99,12,12,12,0,46,5455000,1
13,1,29,Mick Schumacher,4,47,13,13,13,0,45,5460000,1
14,1,19,Nikita Mazepin,4,9,14,14,14,0,44,5465000,1
15,1,31,Yuki Tsunoda,8,22,15,15,15,0,43,5470000,1
16,1,15,Nicholas Latifi,10,6,16,16,16,0,42,5475000,1
17,1,17,Charles Leclerc,3,16,17,17,17,0,41,5480000,1
18,1,2,Fernando Alonso,1,14,18,18,18,0,40,5485000,1
19,1,33,Sebastian Vettel,2,5,19,,19,0,13,5490000,17
20,1,10,Pierre Gasly,8,10,20,,20,0,42,5495000,18
21,2,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
22,2,13,Lewis Hamilton,7,44,2,2,2,18,56,5405000,1
23,2,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
24,2,22,Sergio Perez,9,11,4,4,4,12,54,5415000,1
25,2,17,Charles Leclerc,3,16,5,5,5,10,53,5420000,1
26,2,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
27,2,25,Daniel Ricciardo,6,3,7,7,7,6,51,5430000,1
28,2,20,Lando Norris,6,4,8,8,8,4,50,5435000,1
29,2,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
30,2,21,Esteban Ocon,1,31,10,10,10,1,48,5445000,1
31,2,24,Kimi Raikkonen,5,7,11,11,11,0,47,5450000,1
32,2,30,Lance Stroll,2,18,12,12,12,0,46,5455000,1
33,2,11,Antonio Giovinazzi,5,99,13,13,13,0,45,5460000,1
34,2,31,Yuki Tsunoda,8,22,14,14,14,0,44,5465000,1
35,2,2,Fernando Alonso,1,14,15,15,15,0,43,5470000,1
36,2,15,Nicholas Latifi,10,6,16,16,16,0,42,5475000,1
37,2,26,George Russell,10,63,17,17,17,0,41,5480000,1
38,2,33,Sebastian Vettel,2,5,18,18,18,0,40,5485000,1
39,2,29,Mick Schumacher,4,47,19,,19,0,30,5490000,12
40,2,19,Nikita Mazepin,4,9,20,,20,0,18,5495000,14
41,3,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
42,3,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
43,3,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
44,3,22,Sergio Perez,9,11,4,4,4,12,54,5415000,1
45,3,10,Pierre Gasly,8,10,5,5,5,10,53,5420000,1
46,3,27,Carlos Sainz,3,55,6,6,6,8,52,5425000,1
47,3,25,Daniel Ricciardo,6,3,7,7,7,6,51,5430000,1
48,3,21,Esteban Ocon,1,31,8,8,8,4,50,5435000,1
49,3,2,Fernando Alonso,1,14,9,9,9,2,49,5440000,1
50,3,20,Lando Norris,6,4,10,10,10,1,48,5445000,1
51,3,24,Kimi Raikkonen,5,7,11,11,11,0,47,5450000,1
52,3,15,Nicholas Latifi,10,6,12,12,12,0,46,5455000,1
53,3,19,Nikita Mazepin,4,9,13,13,13,0,45,5460000,1
54,3,17,Charles Leclerc,3,16,14,14,14,0,44,5465000,1
55,3,31,Yuki Tsunoda,8,22,15,15,15,0,43,5470000,1
56,3,11,Antonio Giovinazzi,5,99,16,16,16,0,42,5475000,1
57,3,26,George Russell,10,63,17,17,17,0,41,5480000,1
58,3,29,Mick Schumacher,4,47,18,18,18,0,40,5485000,1
59,3,30,Lance Stroll,2,18,19,19,19,0,39,5490000,1
60,3,33,Sebastian Vettel,2,5,20,20,20,0,38,5495000,1
61,4,13,Lewis Hamilton,7,44,1,1,1,25,57,5400000,1
62,4,32,Max Verstappen,9,33,2,2,2,18,56,5405000,1
63,4,6,Valtteri Bottas,7,77,3,3,3,15,55,5410000,1
64,4,27,Carlos Sainz,3,55,4,4,4,12,54,5415000,1
65,4,20,Lando Norris,6,4,5,5,5,10,53,5420000,1
66,4,31,Yuki Tsunoda,8,22,6,6,6,8,52,5425000,1
67,4,22,Sergio Perez,9,11,7,7,7,6,51,5430000,1
68,4,2,Fernando Alonso,1,14,8,8,8,4,50,5435000,1
69,4,10,Pierre Gasly,8,10,9,9,9,2,49,5440000,1
70,4,17,Charles Leclerc,3,16,10,10,10,1,48,5445000,1
71,4,25,Daniel Ricciardo,6,3,11,11,11,0,47,5450000,1
72,4,15,Nicholas Latifi,10,6,12,12,12,0,46,5455000,1
73,4,19,Nikita Mazepin,4,9,13,13,13,0,45,5460000,1
74,4,33,Sebastian Vettel,2,5,14,14,14,0,44,5465000,1
75,4,21,Esteban Ocon,1,31,15,15,15,0,43,5470000,1
76,4,11,Antonio Giovinazzi,5,99,16,16,16,0,42,5475000,1
77,4,24,Kimi Raikkonen,5,7,17,17,17,0,41,5480000,1
78,4,30,Lance Stroll,2,18,18,18,18,0,40,5485000,1
79,4,26,George Russell,10,63,19,19,19,0,39,5490000,1
80,4,29,Mick Schumacher,4,47,20,20,20,0,38,5495000,1
81,5,32,Max Verstappen,9,33,1,1,1,25,57,5400000,1
82,5,27,Carlos Sainz,3,55,2,2,2,18,56,5405000,1
83,5,20,Lando Norris,6,4,3,3,3,15,55,5410000,1
84,5,6,Valtteri Bottas,7,77,4,4,4,12,54,5415000,1
85,5,22,Sergio Perez,9,11,5,5,5,10,53,5420000,1
86,5,33,Sebastian Vettel,2,5,6,6,6,8,52,5425000,1
87,5,30,Lance Stroll,2,18,7,7,7,6,51,5430000,1
88,5,10,Pierre Gasly,8,10,8,8,8,4,50,5435000,1
89,5,17,Charles Leclerc,3,16,9,9,9,2,49,5440000,1
90,5,13,Lewis Hamilton,7,44,10,10,10,1,48,5445000,1
91,5,19,Nikita Mazepin,4,9,11,11,11,0,47,5450000,1
92,5,26,George Russell,10,63,12,12,12,0,46,5455000,1
93,5,11,Antonio Giovinazzi,5,99,13,13,13,0,45,5460000,1
94,5,2,Fernando Alonso,1,14,14,14,14,0,44,5465000,1
95,5,21,Esteban Ocon,1,31,15,15,15,0,43,5470000,1
96,5,24,Kimi Raikkonen,5,7,16,16,16,0,42,5475000,1
97,5,29,Mick Schumacher,4,47,17,17,17,0,41,5480000,1
98,5,31,Yuki Tsunoda,8,22,18,18,18,0,40,5485000,1
99,5,15,Nicholas Latifi,10,6,19,19,19,0,39,5490000,1
100,5,25,Daniel Ricciardo,6,3,20,,20,0,25,5495000,11
101,6,22,Sergio Perez,9,11,1,1,1,25,57,5400000,1
102,6,27,Carlos Sainz,3,55,2,2,2,18,56,5405000,1
103,6,10,Pierre Gasly,8,10,3,3,3,15,55,5410000,1
104,6,21,Esteban Ocon,1,31,4,4,4,12,54,5415000,1
105,6,33,Sebastian Vettel,2,5,5,5,5,10,53,5420000,1
106,6,30,Lance Stroll,2,18,6,6,6,8,52,5425000,1
