display_name,circuitId
Bahrain Grand Prix,2
Emilia Romagna Grand Prix,7
Portuguese Grand Prix,17
Spanish Grand Prix,4
Monaco Grand Prix,14
Azerbaijan Grand Prix,3
French Grand Prix,16
Austrian Grand Prix,18
British Grand Prix,21
Hungarian Grand Prix,6
Belgian Grand Prix,24
Dutch Grand Prix,28
Italian Grand Prix,15
Russian Grand Prix,23
Turkish Grand Prix,9
United States Grand Prix,5
Mexico City Grand Prix,19
Sao Paulo Grand Prix,8
Qatar Grand Prix,12
Saudi Arabian Grand Prix,10
Abu Dhabi Grand Prix,27
Australian Grand Prix,1
Miami Grand Prix,13
Canadian Grand Prix,26
Singapore Grand Prix,22
Japanese Grand Prix,25
Las Vegas Grand Prix,11
Chinese Grand Prix,20
